ticker,company_name,url,ceo_name,ceo_role,appointment_date,resignation_date,open_at_appointment,close_at_resignation,topix_open_at_appointment,topix_close_at_resignation,excess_return_annual,tenure_years,photo_paths,photo_count,source
5891,魁力屋,https://www.kairikiya.co.jp/,嘉納修治,prev_8,,,,,,,,,photos_2/5891_魁力屋/history/08_嘉納修治/photo_01.jpg,1,history
5901,東洋製罐グループホールディングス,https://www.tskg-hd.com/,中村,current,,,,,,,,,photos_2/5901_東洋製罐グループホールディングス/current/photo_01.jpg,1,current
5906,エムケー精工,https://www.mkseiko.co.jp/,丸山 将一,current,,,,,,,,,photos_2/5906_エムケー精工/current/photo_01.jpg,1,current
5909,コロナ,https://www.corona.co.jp/,送検 日本経,prev_1,2020年3月28日,2020年3月31日,,,,,,,photos_2/5909_コロナ/history/01_送検_日本経/photo_01.jpg,1,history
5911,横河ブリッジホールディングス,https://www.ybhd.co.jp/,髙田 和彦,current,,,,,,,,,photos_2/5911_横河ブリッジホールディングス/current/photo_01.jpg,1,current
5928,アルメタックス,https://www.almetax.co.jp/,村治 俊哉,current,,,,,,,,,photos_2/5928_アルメタックス/current/photo_01.jpg,1,current
5929,三和ホールディングス,https://www.sanwa-hldgs.co.jp/,三和,current,,,,,,,,,photos_2/5929_三和ホールディングス/current/photo_01.jpg,1,current
5929,三和ホールディングス,https://www.sanwa-hldgs.co.jp/,髙山 靖司,prev_1,,,,,,,,,photos_2/5929_三和ホールディングス/history/01_髙山_靖司/photo_01.jpg,1,history
5936,東洋シヤッター,https://www.toyo-shutter.co.jp/,岡田　敏夫,current,,,,,,,,,photos_2/5936_東洋シヤッター/current/photo_01.jpg,1,current
5922,那須電機鉄工,https://www.nasudenki.co.jp/,鈴木　智晴,current,,,,,,,,,photos_2/5922_那須電機鉄工/current/photo_01.jpg,1,current
5930,文化シヤッター,https://www.bunka-s.co.jp/,"紹介
社是",current,,,,,,,,,photos_2/5930_文化シヤッター/current/photo_01.jpg,1,current
5946,長府製作所,https://www.chofu.co.jp/,山下 学,current,,,,,,,,,photos_2/5946_長府製作所/current/photo_01.jpg,1,current
5949,ユニプレス,https://www.unipres.co.jp/,創立以来,current,,,,,,,,,photos_2/5949_ユニプレス/current/photo_01.jpg,1,current
5949,ユニプレス,https://www.unipres.co.jp/,進士仁一,prev_1,,,,,,,,,,0,history
5949,ユニプレス,https://www.unipres.co.jp/,手塚卓志,prev_2,,,,,,,,,photos_2/5949_ユニプレス/history/02_手塚卓志/photo_01.jpg,1,history
5951,ダイニチ工業,https://www.dainichi-net.co.jp/,放送,current,2025年1月,,603.57,,,,,,"photos_2/5951_ダイニチ工業/current/photo_01.jpg,photos_2/5951_ダイニチ工業/current/photo_02.jpg,photos_2/5951_ダイニチ工業/current/photo_03.jpg",3,current
5951,ダイニチ工業,https://www.dainichi-net.co.jp/,吉井 久夫,prev_1,2022年3月31日,,,,,,,,photos_2/5951_ダイニチ工業/history/01_吉井_久夫/photo_01.jpg,1,history
5950,日本パワーファスニング,https://www.jpf-net.co.jp/,進士仁一,prev_1,,,,,,,,,,0,history
5950,日本パワーファスニング,https://www.jpf-net.co.jp/,手塚卓志,prev_2,,,,,,,,,photos_2/5950_日本パワーファスニング/history/02_手塚卓志/photo_01.jpg,1,history
5957,日東精工,https://www.nittoseiko.co.jp/,株主,current,,,,,,,,,photos_2/5957_日東精工/current/photo_01.jpg,1,current
